Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),heating,cooling,fans,humid
 08/26  23:00:00,13.075,12.03517293,88.75,0.008350871,1.291666667,195.8333333,0,0.010000916,0.04526273,0
 08/26  24:00:00,12.7,11.76013653,89.75,0.008248945,1.208333333,194.1666667,0,0,0.044655357,0
 08/27  01:00:00,12.3875,11.61581974,91.5,0.008226674,1.291666667,201.6666667,0,0,0.050833986,0
 08/27  02:00:00,12.2625,11.62350386,93,0.008296136,1.208333333,215.8333333,0,0,0.042857143,0
 08/27  03:00:00,12.1125,11.54600206,93.625,0.008274886,1,220,0,0,0.042857143,0
 08/27  04:00:00,11.5625,11.05996026,94,0.008021603,1,208.3333333,0,0,0.042857143,0
 08/27  05:00:00,10.8625,10.42285271,94.625,0.007700898,1,200,0.214846584,0,0.085165082,0
 08/27  06:00:00,10.6,10.22213261,95.625,0.007631462,1.291666667,205.8333333,0.187997899,0,0.079922885,0
 08/27  07:00:00,11.35,10.84645226,94.75,0.00793693,1.208333333,221.6666667,0.008547796,0,0.044324907,0
 08/27  08:00:00,13.675,12.18290942,85.25,0.008317791,1,265,0.01950729,0,0.056909411,0
 08/27  09:00:00,15.8625,13.08539676,73.75,0.008306826,1,243.3333333,0,0,0.051712106,0
 08/27  10:00:00,17.3125,13.4020517,65,0.008031399,1.291666667,204.1666667,0,0.19698369,0.090163648,0
 08/27  11:00:00,18.3625,13.6433781,59.5,0.007845423,2.433333333,205.8333333,0,0.079899121,0.072884199,0
 08/27  12:00:00,19.325,13.94353614,55.5,0.007774799,3.391666667,204.1666667,0,0.27948844,0.1152555,0
 08/27  13:00:00,18.7625,13.86604218,58.375,0.00788527,2.375,233.3333333,0,0.388133104,0.136769954,0
 08/27  14:00:00,19.075,13.95523705,57.25,0.007901366,2.433333333,342.5,0,0.14279196,0.088201006,0
 08/27  15:00:00,17.2875,13.14787016,62.5,0.007705265,3.683333333,260,0,0.308189883,0.118853147,0
 08/27  16:00:00,13.9625,12.02795398,80.125,0.007937061,4.391666667,239.1666667,0,0.203707286,0.092382722,0
 08/27  17:00:00,13.175,12.18949776,89.875,0.008483837,2.5,248.3333333,0,0,0.053646429,0
 08/27  18:00:00,14.025,12.94749049,89.125,0.008911469,1,240,0,0.083222616,0.065703684,0
 08/27  19:00:00,15.025,13.61077878,86.125,0.009191218,1,175.8333333,0,0.096675657,0.069666407,0
 08/27  20:00:00,14.025,13.11341111,90,0.009024799,1,217.5,0,0,0.053468175,0
 08/27  21:00:00,12.6375,12.24701467,95.5,0.008728299,1,245,0,0,0.042857143,0
 08/27  22:00:00,11.3625,11.11093026,96.375,0.008125781,0.416666667,241.6666667,0,0,0.049150893,0
 08/27  23:00:00,10.55,10.27525807,96.625,0.007679555,0.583333333,313.3333333,0,0,0.049265952,0
 08/27  24:00:00,9.9625,9.692136422,96.375,0.007374505,1,204.1666667,0.1,0,0.042857143,0
 08/28  01:00:00,9.3875,9.128224734,96.625,0.00709957,0.416666667,62.5,0.229480651,0,0.048866021,0
 08/28  02:00:00,8.6375,8.435565269,97,0.006783204,0,0,0.500859807,0,0.112047665,0
 08/28  03:00:00,7.6125,7.516964693,98.25,0.006402076,0,0,0.445590491,0,0.096400103,0
 08/28  04:00:00,7.3875,7.210059335,97.75,0.006255903,0,0,0.446038835,0,0.094482861,0
 08/28  05:00:00,7.1875,7.069566463,98.25,0.006205526,0.583333333,260.8333333,0.488046414,0,0.103460855,0
 08/28  06:00:00,8.1875,8.030344267,99,0.006659822,1.291666667,283.3333333,0.579977937,0,0.126348472,0
 08/28  07:00:00,9.9625,9.661552759,97.125,0.007381805,1.208333333,344.1666667,0.468459486,0,0.122885454,0
 08/28  08:00:00,11.5375,11.07139543,95.375,0.008057938,1.291666667,345.8333333,0.004842789,0,0.04368816,0
 08/28  09:00:00,12.975,12.23648571,92.5,0.008609932,2.433333333,350,0.134484869,0,0.075220865,0
 08/28  10:00:00,14.375,13.32888177,89.75,0.0091525,3.1,338.3333333,0.110430504,0,0.071538425,0
 08/28  11:00:00,16.025,14.01776748,80.875,0.009204241,2.808333333,287.5,0,0,0.042857143,0
 08/28  12:00:00,17.5125,14.22302954,70.375,0.00880099,3.766666667,342.5,0,0.006275476,0.051552131,0
 08/28  13:00:00,13.3125,12.23194704,87.625,0.008338269,3.433333333,117.5,0,0,0.04907666,0
 08/28  14:00:00,15.9375,12.90580971,73.75,0.008218406,4.058333333,146.6666667,0,0.189569521,0.088368323,0
 08/28  15:00:00,19.45,13.99517578,54.875,0.007758097,5.1,331.6666667,0,0.297775594,0.121670874,0
 08/28  16:00:00,19.4125,13.94349473,54.875,0.007710467,5.741666667,328.3333333,0,0.380614484,0.140027154,0
 08/28  17:00:00,19.3,14.00489507,56,0.00782737,5.558333333,320,0,0.419996736,0.14469624,0
 08/28  18:00:00,16.3625,13.53744711,73.5,0.008458504,3.933333333,290.8333333,0,0.100758285,0.075064775,0
 08/28  19:00:00,13.6625,12.29784381,85.25,0.008352828,2.516666667,240.8333333,0,0.045173695,0.060726026,0
 08/28  20:00:00,12.7875,11.61326381,87.25,0.008045704,2.391666667,260.8333333,0,0.11558571,0.070691733,0
 08/28  21:00:00,12.85,11.6058636,86.75,0.008024471,2.891666667,313.3333333,0,0,0.053646429,0
 08/28  22:00:00,12.8125,11.62932717,87.25,0.00805595,3.1,324.1666667,0,0,0.046351706,0
 08/28  23:00:00,12.7625,11.53344311,86.75,0.007992753,3.391666667,320,0,0,0.042857143,0
 08/28  24:00:00,12.675,11.49262115,87.25,0.007988587,3.891666667,320,0.042644473,0,0.059898905,0
 08/29  01:00:00,12.6625,11.60227027,88.625,0.008110238,4.391666667,314.1666667,0,0,0.043798305,0
 08/29  02:00:00,13.0125,11.90831529,88.375,0.008275885,4.891666667,304.1666667,0,0,0.042857143,0
 08/29  03:00:00,13.2625,12.06937771,87.375,0.00833159,5.45,305.8333333,0.040438922,0,0.049580599,0
 08/29  04:00:00,13.175,12.06895463,88.25,0.008365818,5.35,310,0.138689462,0,0.067749945,0
 08/29  05:00:00,12.85,11.95248796,90.25,0.00838527,5.45,310,0.323914831,0,0.104772405,0
 08/29  06:00:00,12.575,11.8638322,92.25,0.008417471,5.7,310,0.136616455,0,0.065773411,0
 08/29  07:00:00,12.5,11.80571149,92.375,0.008394077,5.991666667,310,0.235786115,0,0.086046744,0
 08/29  08:00:00,12.625,11.71734803,90.125,0.008258291,6.2,310,0.412410671,0,0.122795315,0
 08/29  09:00:00,12.95,11.62745423,85.875,0.00803886,6.491666667,304.1666667,0.272311241,0,0.09349654,0
 08/29  10:00:00,13.475,11.68859012,81.5,0.007886273,7.283333333,305.8333333,0.250027436,0,0.087886281,0
 08/29  11:00:00,14.075,11.78826292,76.875,0.007737686,6.825,310,0.395307235,0,0.118743477,0
 08/29  12:00:00,14.6125,11.57667227,70,0.007306346,6.2,321.6666667,0.122027231,0,0.066069551,0
 08/29  13:00:00,15.1125,11.536993,65.75,0.007061717,6.783333333,324.1666667,0.077654636,0,0.057259963,0
 08/29  14:00:00,15.55,11.90166159,65.625,0.007240144,6.325,320,0.293129148,0,0.101071453,0
 08/29  15:00:00,15.825,11.86683191,62.875,0.007089099,5.7,320,0.069309097,0,0.055285623,0
